CLUSTER:lemon-balm | KEYWORD:can you take lemon balm and melatonin together | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take lemon balm and melatonin together'. | SLUG:can-you-take-lemon-balm-and-melatonin-together | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:ashwagandha | KEYWORD:KSM-66 vs Sensoril ashwagandha — what's the difference | ANGLE:Comparison: root vs root+leaf, standardization percentages, study backing for each | SLUG:ksm66-vs-sensoril-ashwagandha | PRODUCTS: ashwagandha | TYPE:comparison | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:L-theanine dosage for anxiety — how much is actually effective | ANGLE:Dose guide: 100–400 mg range, acute vs chronic use, what RCTs used | SLUG:l-theanine-dosage-anxiety | PRODUCTS: l-theanine | TYPE:dosage | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:saffron for PMS and mood swings — evidence and dosage | ANGLE:Population-specific: luteal phase studies, 30 mg dose, women's health framing | SLUG:saffron-pms-mood-swings | PRODUCTS: saffron-extract | TYPE:dosage | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:rhodiola rosea dosage and cycling — do you need to take breaks | ANGLE:Protocol guide: 200–400 mg, 5-on-2-off cycling logic, why some herbalists cycle adaptogens | SLUG:rhodiola-dosage-cycling | PRODUCTS: rhodiola-rosea | TYPE:dosage | PRIORITY:P2
CLUSTER:probiotic-gut-brain | KEYWORD:how long does it take for probiotics to affect mood | ANGLE:Timeline guide: microbiome shift research, 4–8 week windows, consistency requirement | SLUG:probiotics-how-long-mood | PRODUCTS: probiotic-gut-brain | TYPE:duration | PRIORITY:P2
CLUSTER:lifestyle-foundations | KEYWORD:anti-inflammatory diet for mood — foods and supplements to know | ANGLE:Diet angle: omega-3/6 ratio, polyphenols, how food choices interact with the supplement clusters | SLUG:anti-inflammatory-diet-mood | PRODUCTS: omega-3-fish-oil,probiotic-gut-brain | TYPE:explainer | PRIORITY:P2
CLUSTER:vitamin-d3 | KEYWORD:vitamin D and serotonin — how sunlight supports mood chemistry | ANGLE:Mechanism post: D3 → tryptophan hydroxylase 2, TPH2 pathway in the brain | SLUG:vitamin-d-serotonin-connection | PRODUCTS: vitamin-d3 | TYPE:explainer | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:magnesium glycinate vs magnesium threonate — brain vs body | ANGLE:Comparison: threonate's magtein research, BBB penetration, cost vs benefit | SLUG:magnesium-glycinate-vs-threonate | PRODUCTS: magnesium-glycinate | TYPE:comparison | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:vitamin B6 and serotonin — the cofactor most people overlook | ANGLE:Mechanism post: pyridoxal-5-phosphate as cofactor in 5-HTP → serotonin conversion | SLUG:vitamin-b6-serotonin-cofactor | PRODUCTS: b-complex | TYPE:explainer | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:ashwagandha for sleep quality — evidence and dosage | ANGLE:Sleep angle: cortisol → melatonin interference, specific sleep RCT findings | SLUG:ashwagandha-for-sleep | PRODUCTS: ashwagandha | TYPE:dosage | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:L-theanine vs GABA supplement — which is better for calm | ANGLE:Comparison: blood-brain barrier crossing, mechanism differences, evidence quality | SLUG:l-theanine-vs-gaba | PRODUCTS: l-theanine | TYPE:comparison | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:saffron for seasonal mood changes — can it help in winter | ANGLE:Seasonal angle: photosensitivity research gap, serotonin modulation theory | SLUG:saffron-seasonal-mood | PRODUCTS: saffron-extract | TYPE:explainer | PRIORITY:P2
CLUSTER:probiotic-gut-brain | KEYWORD:probiotic vs prebiotic for mental health — what's the difference | ANGLE:Comparison: live organisms vs fermentable fiber, synbiotics, what research tests | SLUG:probiotic-vs-prebiotic-mental-health | PRODUCTS: probiotic-gut-brain | TYPE:comparison | PRIORITY:P2
CLUSTER:lifestyle-foundations | KEYWORD:stress management techniques backed by research | ANGLE:Practical guide: breathwork, cold exposure, HRV training — with evidence quality ratings | SLUG:stress-management-techniques-research | PRODUCTS: ashwagandha,rhodiola-rosea,l-theanine | TYPE:explainer | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:magnesium and cortisol — how it supports the stress response | ANGLE:Mechanism: NMDA receptor modulation, HPA axis dampening, RCT evidence | SLUG:magnesium-cortisol-stress | PRODUCTS: magnesium-glycinate | TYPE:explainer | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:MTHFR gene and mood — do B vitamins help | ANGLE:Population-specific: MTHFR C677T, homocysteine, methylated B supplement rationale | SLUG:mthfr-gene-mood-b-vitamins | PRODUCTS: b-complex | TYPE:explainer | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:ashwagandha for women — hormonal balance and stress | ANGLE:Population-specific: thyroid interaction caution, DHEA, fertility studies, cycling | SLUG:ashwagandha-for-women | PRODUCTS: ashwagandha | TYPE:explainer | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:L-theanine for social anxiety — what the research shows | ANGLE:Population-specific: acute dosing studies, anticipatory anxiety, on-demand use | SLUG:l-theanine-social-anxiety | PRODUCTS: l-theanine | TYPE:explainer | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:saffron extract side effects — what to know before taking it | ANGLE:Safety guide: nausea at high doses, pregnancy caution, medication interactions | SLUG:saffron-extract-side-effects | PRODUCTS: saffron-extract | TYPE:safety | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:rhodiola rosea for cognitive performance under stress | ANGLE:Performance angle: working memory studies, exam stress RCTs, cortisol-cognition link | SLUG:rhodiola-cognitive-performance-stress | PRODUCTS: rhodiola-rosea | TYPE:explainer | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:how long does 5-HTP take to work for mood | ANGLE:Timeline guide: serotonin synthesis timelines, what RCT participants reported | SLUG:5-htp-how-long-to-work | PRODUCTS: 5-htp | TYPE:duration | PRIORITY:P2
CLUSTER:probiotic-gut-brain | KEYWORD:leaky gut and mood — does intestinal permeability affect mental health | ANGLE:Mechanism post: LPS translocation, neuroinflammation, zonulin research | SLUG:leaky-gut-and-mood | PRODUCTS: probiotic-gut-brain | TYPE:explainer | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:best magnesium dosage for sleep — what studies actually used | ANGLE:Evidence-based dose guide: 300–400 mg elemental, timing, forms studied in RCTs | SLUG:magnesium-dosage-for-sleep | PRODUCTS: magnesium-glycinate | TYPE:dosage | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:best B complex for energy and mood — what to look for on the label | ANGLE:Buyer guide: methylated vs synthetic forms, B12 cyanocobalamin vs methylcobalamin | SLUG:best-b-complex-energy-mood | PRODUCTS: b-complex | TYPE:explainer | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:L-theanine for kids and teens — is it safe | ANGLE:Population-specific: limited pediatric data, caution framing, school stress context | SLUG:l-theanine-kids-teens-safety | PRODUCTS: l-theanine | TYPE:safety | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:saffron vs St. John's Wort for mood support — comparison | ANGLE:Head-to-head: evidence depth, drug interactions (St. JW is significant), availability | SLUG:saffron-vs-st-johns-wort | PRODUCTS: saffron-extract | TYPE:comparison | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:rhodiola for shift workers and disrupted sleep schedules | ANGLE:Population-specific: fatigue under irregular schedules, military/physician studies | SLUG:rhodiola-shift-workers-sleep | PRODUCTS: rhodiola-rosea | TYPE:explainer | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:5-HTP for emotional eating and carbohydrate cravings | ANGLE:Mechanism angle: serotonin and appetite regulation, satiety center studies | SLUG:5-htp-emotional-eating-cravings | PRODUCTS: 5-htp | TYPE:explainer | PRIORITY:P2
CLUSTER:lifestyle-foundations | KEYWORD:magnesium-rich foods vs magnesium supplements — do you need both | ANGLE:Hybrid guide: dietary Mg content, depletion factors, when food isn't enough | SLUG:magnesium-foods-vs-supplements | PRODUCTS: magnesium-glycinate | TYPE:comparison | PRIORITY:P2
CLUSTER:omega-3-fish-oil | KEYWORD:best omega-3 fish oil supplement for mood | ANGLE:BOFU buyer guide: EPA-forward formulas, IFOS purity, dose per serving — with picks | SLUG:best-omega-3-supplement-for-mood | PRODUCTS: omega-3-fish-oil | TYPE:explainer | PRIORITY:P2
CLUSTER:vitamin-d3 | KEYWORD:best vitamin D3 supplement for mood | ANGLE:BOFU buyer guide: D3 vs D2, D3+K2, IU per softgel, what to look for — with picks | SLUG:best-vitamin-d-supplement-for-mood | PRODUCTS: vitamin-d3 | TYPE:explainer | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:best magnesium supplement for sleep and anxiety | ANGLE:BOFU buyer guide: glycinate vs threonate picks, elemental mg per serving, fillers to avoid | SLUG:best-magnesium-for-sleep-anxiety | PRODUCTS: magnesium-glycinate | TYPE:explainer | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:best ashwagandha supplement for stress and sleep | ANGLE:BOFU buyer guide: KSM-66 vs Sensoril products, standardization %, dose — with picks | SLUG:best-ashwagandha-for-stress-sleep | PRODUCTS: ashwagandha | TYPE:explainer | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:best saffron supplement for mood | ANGLE:BOFU buyer guide: affron/standardized extracts, 28-30 mg dose, adulteration checks — with picks | SLUG:best-saffron-supplement-for-mood | PRODUCTS: saffron-extract | TYPE:explainer | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:best rhodiola rosea supplement for energy and stress | ANGLE:BOFU buyer guide: SHR-5 / 3% rosavins + 1% salidroside, dose — with picks | SLUG:best-rhodiola-supplement-for-energy-stress | PRODUCTS: rhodiola-rosea | TYPE:explainer | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:saffron vs 5-HTP for mood — which has better evidence | ANGLE:MOFU comparison: human-trial depth, safety/interaction profile, who each suits | SLUG:saffron-vs-5-htp-for-mood | PRODUCTS: saffron-extract,5-htp | TYPE:comparison | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:magnesium glycinate morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: 'magnesium glycinate morning or night'. | SLUG:magnesium-glycinate-morning-or-night | PRODUCTS:magnesium-glycinate | TYPE:timing | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:when to take magnesium glycinate | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take magnesium glycinate'. | SLUG:when-to-take-magnesium-glycinate | PRODUCTS:magnesium-glycinate | TYPE:timing | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:should i take magnesium glycinate with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take magnesium glycinate with food'. | SLUG:should-i-take-magnesium-glycinate-with-food | PRODUCTS:magnesium-glycinate | TYPE:timing | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:ashwagandha morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: 'ashwagandha morning or night'. | SLUG:ashwagandha-morning-or-night | PRODUCTS:ashwagandha | TYPE:timing | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:when to take ashwagandha | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take ashwagandha'. | SLUG:when-to-take-ashwagandha | PRODUCTS:ashwagandha | TYPE:timing | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:should i take ashwagandha with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take ashwagandha with food'. | SLUG:should-i-take-ashwagandha-with-food | PRODUCTS:ashwagandha | TYPE:timing | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:5-htp morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: '5-htp morning or night'. | SLUG:5-htp-morning-or-night | PRODUCTS:5-htp | TYPE:timing | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:when to take 5-htp | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take 5-htp'. | SLUG:when-to-take-5-htp | PRODUCTS:5-htp | TYPE:timing | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:should i take 5-htp with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take 5-htp with food'. | SLUG:should-i-take-5-htp-with-food | PRODUCTS:5-htp | TYPE:timing | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:l-theanine morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: 'l-theanine morning or night'. | SLUG:l-theanine-morning-or-night | PRODUCTS:l-theanine | TYPE:timing | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:when to take l-theanine | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take l-theanine'. | SLUG:when-to-take-l-theanine | PRODUCTS:l-theanine | TYPE:timing | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:should i take l-theanine with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take l-theanine with food'. | SLUG:should-i-take-l-theanine-with-food | PRODUCTS:l-theanine | TYPE:timing | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:b complex morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: 'b complex morning or night'. | SLUG:b-complex-morning-or-night | PRODUCTS:b-complex | TYPE:timing | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:when to take b complex | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take b complex'. | SLUG:when-to-take-b-complex | PRODUCTS:b-complex | TYPE:timing | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:should i take b complex with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take b complex with food'. | SLUG:should-i-take-b-complex-with-food | PRODUCTS:b-complex | TYPE:timing | PRIORITY:P2
CLUSTER:vitamin-d3 | KEYWORD:when to take vitamin d3 | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take vitamin d3'. | SLUG:when-to-take-vitamin-d3 | PRODUCTS:vitamin-d3 | TYPE:timing | PRIORITY:P2
CLUSTER:vitamin-d3 | KEYWORD:should i take vitamin d3 with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take vitamin d3 with food'. | SLUG:should-i-take-vitamin-d3-with-food | PRODUCTS:vitamin-d3 | TYPE:timing | PRIORITY:P2
CLUSTER:omega-3-fish-oil | KEYWORD:omega 3 fish oil morning or night | ANGLE:Timing decision query -- searcher already owns the supplement and wants a schedule. Cite half-life/absorption evidence, give one clear default. Keyword: 'omega 3 fish oil morning or night'. | SLUG:omega-3-fish-oil-morning-or-night | PRODUCTS:omega-3-fish-oil | TYPE:timing | PRIORITY:P2
CLUSTER:omega-3-fish-oil | KEYWORD:when to take omega 3 fish oil | ANGLE:Timing query with no clear SERP owner. Answer up front (time of day + relative to food), then the evidence. Keyword: 'when to take omega 3 fish oil'. | SLUG:when-to-take-omega-3-fish-oil | PRODUCTS:omega-3-fish-oil | TYPE:timing | PRIORITY:P2
CLUSTER:omega-3-fish-oil | KEYWORD:should i take omega 3 fish oil with food | ANGLE:Absorption/tolerability query. Fat-soluble vs water-soluble distinction is the differentiator. Keyword: 'should i take omega 3 fish oil with food'. | SLUG:should-i-take-omega-3-fish-oil-with-food | PRODUCTS:omega-3-fish-oil | TYPE:timing | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:5-htp side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: '5-htp side effects'. | SLUG:5-htp-side-effects | PRODUCTS:5-htp | TYPE:safety | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:is 5-htp safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is 5-htp safe to take every day'. | SLUG:is-5-htp-safe-to-take-every-day | PRODUCTS:5-htp | TYPE:safety | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:ashwagandha side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: 'ashwagandha side effects'. | SLUG:ashwagandha-side-effects | PRODUCTS:ashwagandha | TYPE:safety | PRIORITY:P2
CLUSTER:ashwagandha | KEYWORD:is ashwagandha safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is ashwagandha safe to take every day'. | SLUG:is-ashwagandha-safe-to-take-every-day | PRODUCTS:ashwagandha | TYPE:safety | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:rhodiola rosea side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: 'rhodiola rosea side effects'. | SLUG:rhodiola-rosea-side-effects | PRODUCTS:rhodiola-rosea | TYPE:safety | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:is rhodiola rosea safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is rhodiola rosea safe to take every day'. | SLUG:is-rhodiola-rosea-safe-to-take-every-day | PRODUCTS:rhodiola-rosea | TYPE:safety | PRIORITY:P2
CLUSTER:saffron-extract | KEYWORD:is saffron extract safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is saffron extract safe to take every day'. | SLUG:is-saffron-extract-safe-to-take-every-day | PRODUCTS:saffron-extract | TYPE:safety | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:l-theanine side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: 'l-theanine side effects'. | SLUG:l-theanine-side-effects | PRODUCTS:l-theanine | TYPE:safety | PRIORITY:P2
CLUSTER:l-theanine | KEYWORD:is l-theanine safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is l-theanine safe to take every day'. | SLUG:is-l-theanine-safe-to-take-every-day | PRODUCTS:l-theanine | TYPE:safety | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:magnesium glycinate side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: 'magnesium glycinate side effects'. | SLUG:magnesium-glycinate-side-effects | PRODUCTS:magnesium-glycinate | TYPE:safety | PRIORITY:P2
CLUSTER:magnesium-glycinate | KEYWORD:is magnesium glycinate safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is magnesium glycinate safe to take every day'. | SLUG:is-magnesium-glycinate-safe-to-take-every-day | PRODUCTS:magnesium-glycinate | TYPE:safety | PRIORITY:P2
CLUSTER:probiotic-gut-brain | KEYWORD:probiotics side effects | ANGLE:Safety query -- highest YMYL bar, needs NIH/PubMed citations and an explicit who-should-skip section. Keyword: 'probiotics side effects'. | SLUG:probiotics-side-effects | PRODUCTS:probiotic-gut-brain | TYPE:safety | PRIORITY:P2
CLUSTER:probiotic-gut-brain | KEYWORD:is probiotics safe to take every day | ANGLE:Daily-use safety query. Cover long-term data, cycling, and upper limits. Keyword: 'is probiotics safe to take every day'. | SLUG:is-probiotics-safe-to-take-every-day | PRODUCTS:probiotic-gut-brain | TYPE:safety | PRIORITY:P2
